aluno_id,ano_letivo,escola,serie,turno,idade,sexo,renda_familiar,escolaridade_pais,acesso_internet,frequencia_pct,nota_matematica,nota_portugues,nota_media_geral
ALU-00038,2021,Escola Alpha,6º Ano,Tarde,17,F,5+ SM,Fundamental Completo,0,78.2,66.8,55.4,61.1
ALU-00039,2021,Escola Alpha,6º Ano,Tarde,17,F,2-3 SM,Superior Completo,1,81.3,67.5,47.5,57.5
ALU-00040,2021,Escola Alpha,6º Ano,Tarde,17,F,Até 1 SM,Fundamental Incompleto,1,71.8,75.0,33.3,54.1
ALU-00041,2021,Escola Alpha,6º Ano,Tarde,18,F,3-5 SM,Superior Completo,1,78.4,66.8,92.5,79.6
ALU-00042,2021,Escola Alpha,6º Ano,Tarde,17,F,Até 1 SM,Médio Completo,1,78.8,38.9,53.8,46.4
ALU-00043,2021,Escola Alpha,6º Ano,Tarde,16,F,Até 1 SM,Médio Completo,0,81.4,48.6,77.3,62.9
ALU-00044,2021,Escola Alpha,6º Ano,Tarde,16,F,1-2 SM,Superior Completo,1,84.8,60.9,58.2,59.6
ALU-00045,2021,Escola Alpha,6º Ano,Tarde,16,F,1-2 SM,Pós-graduação,1,71.5,62.3,54.9,58.6
ALU-00046,2021,Escola Alpha,6º Ano,Tarde,17,F,2-3 SM,Fundamental Completo,1,80.1,50.6,64.6,57.6
ALU-00047,2021,Escola Alpha,6º Ano,Tarde,17,M,2-3 SM,,1,87.9,54.8,54.6,54.7
ALU-00048,2021,Escola Alpha,6º Ano,Tarde,16,M,Até 1 SM,Superior Completo,1,69.2,46.8,48.9,47.9
ALU-00049,2021,Escola Alpha,6º Ano,Tarde,17,F,Até 1 SM,Médio Completo,0,88.2,43.0,55.3,49.2
ALU-00050,2021,Escola Alpha,6º Ano,Tarde,16,M,Até 1 SM,Fundamental Incompleto,1,75.6,75.3,65.3,70.3
ALU-00051,2021,Escola Alpha,6º Ano,Tarde,17,M,,Médio Completo,1,96.8,52.5,61.3,56.9
ALU-00052,2021,Escola Alpha,6º Ano,Tarde,16,F,1-2 SM,Fundamental Completo,1,93.1,59.4,58.5,59.0
ALU-00053,2021,Escola Alpha,6º Ano,Tarde,16,F,2-3 SM,Pós-graduação,0,86.7,64.9,67.4,66.1
ALU-00054,2021,Escola Alpha,6º Ano,Tarde,16,F,Até 1 SM,Fundamental Completo,1,98.0,49.3,86.1,67.7
ALU-00055,2021,Escola Alpha,6º Ano,Tarde,17,M,2-3 SM,Fundamental Incompleto,0,97.3,51.9,77.4,64.6
ALU-00056,2021,Escola Alpha,6º Ano,Tarde,17,F,Até 1 SM,Fundamental Incompleto,1,86.4,64.0,66.8,65.4
ALU-00057,2021,Escola Alpha,6º Ano,Tarde,17,M,3-5 SM,Superior Completo,0,78.2,62.1,91.3,76.7
ALU-00058,2021,Escola Alpha,6º Ano,Tarde,18,F,1-2 SM,Fundamental Incompleto,1,86.0,71.3,52.6,62.0
ALU-00059,2021,Escola Alpha,6º Ano,Tarde,16,M,5+ SM,Médio Completo,1,93.0,42.7,81.5,62.1
ALU-00060,2021,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,Fundamental Completo,0,100.0,36.1,46.9,41.5
ALU-00061,2021,Escola Alpha,6º Ano,Tarde,17,M,1-2 SM,Superior Completo,1,90.0,55.1,68.2,61.6
ALU-00062,2021,Escola Alpha,6º Ano,Tarde,17,M,3-5 SM,Superior Completo,1,94.5,52.4,81.8,67.1
ALU-00063,2021,Escola Alpha,6º Ano,Tarde,17,F,Até 1 SM,Pós-graduação,1,87.0,59.7,50.6,55.1
ALU-00064,2021,Escola Alpha,6º Ano,Tarde,18,F,1-2 SM,Médio Completo,1,72.9,36.8,37.7,37.3
ALU-00065,2021,Escola Alpha,6º Ano,Tarde,18,F,1-2 SM,Superior Completo,0,78.5,65.1,64.9,65.0
ALU-00066,2021,Escola Alpha,6º Ano,Tarde,17,M,1-2 SM,Fundamental Incompleto,1,77.7,47.5,60.8,54.1
ALU-00067,2021,Escola Alpha,6º Ano,Tarde,18,F,2-3 SM,Médio Completo,1,74.1,32.8,52.9,42.8
ALU-00068,2021,Escola Alpha,6º Ano,Tarde,16,F,5+ SM,Superior Completo,1,78.7,63.6,68.5,66.1
ALU-00069,2021,Escola Alpha,6º Ano,Tarde,16,F,1-2 SM,Médio Completo,1,67.7,30.6,56.5,43.6
ALU-00070,2021,Escola Alpha,6º Ano,Tarde,18,F,3-5 SM,Fundamental Completo,1,84.7,71.9,49.5,60.7
ALU-00071,2021,Escola Alpha,6º Ano,Tarde,17,M,3-5 SM,Médio Completo,1,83.4,62.4,68.4,65.4
ALU-00072,2021,Escola Alpha,7º Ano,Manhã,17,F,3-5 SM,Fundamental Completo,1,69.2,31.9,56.3,44.1
ALU-00073,2021,Escola Alpha,7º Ano,Manhã,18,M,2-3 SM,Superior Completo,1,83.6,79.6,65.7,72.6
ALU-00074,2021,Escola Alpha,7º Ano,Manhã,19,F,1-2 SM,Fundamental Incompleto,1,100.0,39.0,56.0,47.5
ALU-00075,2021,Escola Alpha,7º Ano,Manhã,19,M,Até 1 SM,Superior Completo,1,78.9,73.1,59.4,66.3
ALU-00076,2021,Escola Alpha,7º Ano,Manhã,17,M,1-2 SM,Médio Completo,0,87.6,47.9,65.5,56.7
ALU-00077,2021,Escola Alpha,7º Ano,Manhã,18,F,1-2 SM,Médio Completo,0,83.9,67.9,67.5,67.7
ALU-00078,2021,Escola Alpha,7º Ano,Manhã,19,F,Até 1 SM,Médio Completo,1,84.5,71.4,61.3,66.3
ALU-00079,2021,Escola Alpha,7º Ano,Manhã,17,F,1-2 SM,Superior Completo,1,90.0,69.7,55.3,62.5
ALU-00080,2021,Escola Alpha,7º Ano,Manhã,19,F,1-2 SM,Fundamental Completo,1,71.2,46.6,52.6,49.6
ALU-00081,2021,Escola Alpha,7º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,80.9,59.0,72.5,65.7
ALU-00082,2021,Escola Alpha,7º Ano,Manhã,19,M,Até 1 SM,Médio Completo,1,80.2,70.8,44.7,57.8
ALU-00083,2021,Escola Alpha,7º Ano,Manhã,18,F,Até 1 SM,Pós-graduação,1,84.4,74.2,74.7,74.4
ALU-00084,2021,Escola Alpha,7º Ano,Manhã,17,F,1-2 SM,Médio Completo,1,94.6,61.2,71.5,66.3
ALU-00085,2021,Escola Alpha,7º Ano,Manhã,18,M,5+ SM,Fundamental Completo,1,94.6,50.1,77.8,63.9
ALU-00086,2021,Escola Alpha,7º Ano,Manhã,17,F,,Médio Completo,0,72.9,33.1,44.7,38.9
ALU-00087,2021,Escola Alpha,7º Ano,Manhã,17,F,2-3 SM,Fundamental Incompleto,1,69.7,71.5,41.9,56.7
ALU-00088,2021,Escola Alpha,7º Ano,Manhã,18,M,1-2 SM,Fundamental Completo,1,85.0,63.4,44.3,53.8
ALU-00089,2021,Escola Alpha,7º Ano,Manhã,18,M,3-5 SM,Fundamental Completo,1,100.0,67.1,72.0,69.5
ALU-00090,2021,Escola Alpha,7º Ano,Manhã,18,M,Até 1 SM,Superior Completo,1,100.0,56.6,68.2,62.4
ALU-00091,2021,Escola Alpha,7º Ano,Manhã,19,M,1-2 SM,Pós-graduação,1,75.9,79.9,68.5,74.2
ALU-00092,2021,Escola Alpha,7º Ano,Manhã,18,M,Até 1 SM,Superior Completo,0,99.0,53.6,74.0,63.8
ALU-00093,2021,Escola Alpha,7º Ano,Manhã,18,F,2-3 SM,Médio Completo,1,97.6,53.3,59.6,56.4
ALU-00094,2021,Escola Alpha,7º Ano,Manhã,17,M,1-2 SM,Fundamental Completo,1,84.4,49.8,49.2,49.5
ALU-00095,2021,Escola Alpha,7º Ano,Manhã,17,M,3-5 SM,Superior Completo,1,89.6,66.1,68.9,67.5
ALU-00096,2021,Escola Alpha,7º Ano,Manhã,19,F,5+ SM,Médio Completo,1,81.8,61.4,83.7,72.6
ALU-00097,2021,Escola Alpha,7º Ano,Manhã,18,M,3-5 SM,Médio Completo,1,90.5,64.0,50.8,57.4
ALU-00098,2021,Escola Alpha,7º Ano,Manhã,17,M,2-3 SM,Superior Completo,1,82.9,73.4,81.5,77.4
ALU-00099,2021,Escola Alpha,7º Ano,Manhã,17,F,1-2 SM,Médio Completo,0,92.8,72.1,59.7,65.9
ALU-00100,2021,Escola Alpha,7º Ano,Manhã,17,M,5+ SM,Médio Completo,1,71.5,54.3,53.1,53.7
ALU-00101,2021,Escola Alpha,7º Ano,Manhã,19,F,Até 1 SM,Superior Completo,1,79.2,64.5,58.3,61.4
ALU-00102,2021,Escola Alpha,7º Ano,Manhã,19,F,2-3 SM,Superior Completo,1,76.2,66.3,56.2,61.3
ALU-00103,2021,Escola Alpha,7º Ano,Manhã,18,M,Até 1 SM,Médio Completo,0,86.4,71.7,50.7,61.2
ALU-00104,2021,Escola Alpha,7º Ano,Manhã,17,M,1-2 SM,Médio Completo,1,80.4,49.1,48.5,48.8
ALU-00105,2021,Escola Alpha,7º Ano,Tarde,18,M,2-3 SM,Fundamental Completo,0,90.0,56.8,73.2,65.0
ALU-00106,2021,Escola Alpha,7º Ano,Tarde,17,F,,Médio Completo,1,90.7,50.6,68.8,59.7
ALU-00107,2021,Escola Alpha,7º Ano,Tarde,17,F,1-2 SM,Médio Completo,1,100.0,58.7,63.8,61.2
ALU-00108,2021,Escola Alpha,7º Ano,Tarde,19,F,3-5 SM,Superior Completo,1,84.3,78.4,62.5,70.5
ALU-00109,2021,Escola Alpha,7º Ano,Tarde,17,F,Até 1 SM,Superior Completo,1,86.5,52.5,65.6,59.0
ALU-00110,2021,Escola Alpha,7º Ano,Tarde,19,M,1-2 SM,Superior Completo,1,71.7,55.2,45.2,50.2
ALU-00111,2021,Escola Alpha,7º Ano,Tarde,18,F,Até 1 SM,Superior Completo,0,88.5,74.2,66.7,70.4
ALU-00112,2021,Escola Alpha,7º Ano,Tarde,18,F,3-5 SM,Médio Completo,1,90.7,85.8,73.0,79.4
ALU-00113,2021,Escola Alpha,7º Ano,Tarde,17,F,1-2 SM,Médio Completo,1,82.6,70.7,66.1,68.4
ALU-00114,2021,Escola Alpha,7º Ano,Tarde,18,F,Até 1 SM,Pós-graduação,0,97.4,69.0,63.7,66.4
ALU-00115,2021,Escola Alpha,7º Ano,Tarde,19,F,3-5 SM,Fundamental Completo,1,78.5,78.1,61.1,69.6
ALU-00116,2021,Escola Alpha,7º Ano,Tarde,18,M,2-3 SM,Médio Completo,1,75.7,59.1,42.9,51.0
ALU-00117,2021,Escola Alpha,7º Ano,Tarde,17,M,5+ SM,Fundamental Completo,0,78.9,67.4,51.1,59.2
ALU-00118,2021,Escola Alpha,7º Ano,Tarde,17,M,1-2 SM,Superior Completo,0,84.0,70.9,66.3,68.6
ALU-00119,2021,Escola Alpha,7º Ano,Tarde,18,F,1-2 SM,Pós-graduação,1,87.1,55.0,69.5,62.3
ALU-00120,2021,Escola Alpha,7º Ano,Tarde,19,M,2-3 SM,Fundamental Incompleto,1,85.3,41.4,62.1,51.7
ALU-00121,2021,Escola Alpha,7º Ano,Tarde,19,F,1-2 SM,Fundamental Incompleto,1,100.0,81.1,55.0,68.1
ALU-00122,2021,Escola Alpha,7º Ano,Tarde,19,M,1-2 SM,Fundamental Completo,1,100.0,52.6,65.8,59.2
ALU-00123,2021,Escola Alpha,7º Ano,Tarde,19,F,1-2 SM,Fundamental Completo,1,82.3,52.8,69.3,61.0
ALU-00124,2021,Escola Alpha,7º Ano,Tarde,18,M,2-3 SM,Médio Completo,0,85.6,47.7,51.5,49.6
ALU-00125,2021,Escola Alpha,7º Ano,Tarde,18,F,2-3 SM,Pós-graduação,0,76.3,61.6,69.2,65.4
ALU-00126,2021,Escola Alpha,7º Ano,Tarde,19,M,2-3 SM,Superior Completo,1,75.8,88.4,69.3,78.8
ALU-00127,2021,Escola Alpha,7º Ano,Tarde,17,F,3-5 SM,Pós-graduação,1,82.2,81.3,51.1,66.2
ALU-00128,2021,Escola Alpha,7º Ano,Tarde,18,M,2-3 SM,Fundamental Completo,1,72.2,62.6,51.0,56.8
ALU-00129,2021,Escola Alpha,7º Ano,Tarde,18,F,1-2 SM,Fundamental Incompleto,1,83.4,54.1,52.6,53.3
ALU-00130,2021,Escola Alpha,8º Ano,Manhã,19,M,Até 1 SM,Fundamental Completo,1,91.5,59.1,57.2,58.2
ALU-00131,2021,Escola Alpha,8º Ano,Manhã,20,F,1-2 SM,Superior Completo,1,70.5,68.8,63.7,66.3
ALU-00132,2021,Escola Alpha,8º Ano,Manhã,20,F,Até 1 SM,Fundamental Incompleto,1,69.0,57.6,63.9,60.7
ALU-00133,2021,Escola Alpha,8º Ano,Manhã,19,M,5+ SM,Superior Completo,0,95.4,73.1,76.5,74.8
ALU-00134,2021,Escola Alpha,8º Ano,Manhã,20,F,Até 1 SM,Superior Completo,0,91.3,57.0,60.2,58.6
ALU-00135,2021,Escola Alpha,8º Ano,Manhã,19,F,Até 1 SM,Médio Completo,1,78.1,69.6,58.8,64.2
ALU-00136,2021,Escola Alpha,8º Ano,Manhã,20,F,2-3 SM,Fundamental Completo,1,86.2,57.8,73.1,65.5
ALU-00137,2021,Escola Alpha,8º Ano,Manhã,19,M,Até 1 SM,Pós-graduação,0,74.2,59.7,52.3,56.0
ALU-00138,2021,Escola Alpha,8º Ano,Manhã,20,F,2-3 SM,Fundamental Incompleto,1,82.2,53.9,54.7,54.3
ALU-00139,2021,Escola Alpha,8º Ano,Manhã,19,F,Até 1 SM,Fundamental Completo,1,74.7,20.7,44.7,32.7
ALU-00140,2021,Escola Alpha,8º Ano,Manhã,19,M,,Fundamental Completo,1,92.4,68.1,76.5,72.3
ALU-00141,2021,Escola Alpha,8º Ano,Manhã,18,M,2-3 SM,Fundamental Completo,1,100.0,43.1,58.5,50.8
ALU-00142,2021,Escola Alpha,8º Ano,Manhã,18,F,1-2 SM,Superior Completo,1,89.5,44.8,81.6,63.2
ALU-00143,2021,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Fundamental Completo,1,72.1,29.5,36.0,32.7
ALU-00144,2021,Escola Alpha,8º Ano,Manhã,19,F,2-3 SM,Fundamental Incompleto,1,89.0,60.1,36.9,48.5
ALU-00145,2021,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Médio Completo,1,100.0,74.9,65.1,70.0
ALU-00146,2021,Escola Alpha,8º Ano,Manhã,20,F,Até 1 SM,Médio Completo,1,89.6,71.1,54.8,62.9
ALU-00147,2021,Escola Alpha,8º Ano,Manhã,18,M,2-3 SM,Superior Completo,1,81.9,64.8,79.8,72.3
ALU-00148,2021,Escola Alpha,8º Ano,Manhã,18,F,5+ SM,Superior Completo,0,82.9,49.8,76.1,63.0
ALU-00149,2021,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Pós-graduação,1,73.4,51.6,55.8,53.7
ALU-00150,2021,Escola Alpha,8º Ano,Manhã,18,M,1-2 SM,Fundamental Completo,0,67.0,40.8,49.2,45.0
ALU-00151,2021,Escola Alpha,8º Ano,Manhã,20,F,1-2 SM,Fundamental Completo,1,91.3,60.3,58.5,59.4
ALU-00152,2021,Escola Alpha,8º Ano,Manhã,20,M,Até 1 SM,Fundamental Completo,1,73.9,68.5,36.5,52.5
ALU-00153,2021,Escola Alpha,8º Ano,Manhã,19,F,3-5 SM,Pós-graduação,0,68.5,50.2,76.4,63.3
ALU-00154,2021,Escola Alpha,8º Ano,Manhã,18,F,2-3 SM,Fundamental Incompleto,1,91.2,73.1,66.4,69.7
ALU-00155,2021,Escola Alpha,8º Ano,Manhã,20,M,1-2 SM,Fundamental Incompleto,1,85.9,82.5,57.0,69.8
ALU-00156,2021,Escola Alpha,8º Ano,Manhã,18,M,2-3 SM,Pós-graduação,0,79.7,86.9,81.7,84.3
ALU-00157,2021,Escola Alpha,8º Ano,Manhã,18,M,Até 1 SM,Fundamental Completo,0,84.8,51.4,43.4,47.4
ALU-00158,2021,Escola Alpha,8º Ano,Manhã,19,F,5+ SM,Superior Completo,1,80.5,82.9,77.6,80.3
ALU-00159,2021,Escola Alpha,8º Ano,Manhã,20,M,3-5 SM,Médio Completo,1,84.2,75.4,56.7,66.0
ALU-00160,2021,Escola Alpha,8º Ano,Tarde,18,M,1-2 SM,Pós-graduação,1,95.1,79.2,70.3,74.8
ALU-00161,2021,Escola Alpha,8º Ano,Tarde,18,M,Até 1 SM,Superior Completo,1,98.5,67.5,85.5,76.5
ALU-00162,2021,Escola Alpha,8º Ano,Tarde,18,F,5+ SM,Fundamental Incompleto,0,93.3,72.9,66.7,69.8
ALU-00163,2021,Escola Alpha,8º Ano,Tarde,18,M,1-2 SM,Fundamental Incompleto,0,92.7,61.6,42.9,52.2
ALU-00164,2021,Escola Alpha,8º Ano,Tarde,20,M,3-5 SM,Médio Completo,1,75.5,58.5,70.0,64.2
ALU-00165,2021,Escola Alpha,8º Ano,Tarde,18,M,2-3 SM,Pós-graduação,1,87.0,65.4,92.3,78.8
ALU-00166,2021,Escola Alpha,8º Ano,Tarde,18,F,Até 1 SM,Médio Completo,0,77.6,44.5,57.5,51.0
ALU-00167,2021,Escola Alpha,8º Ano,Tarde,20,F,2-3 SM,Fundamental Completo,1,65.4,33.6,52.6,43.1
ALU-00168,2021,Escola Alpha,8º Ano,Tarde,18,M,5+ SM,Médio Completo,1,100.0,60.2,58.5,59.4
ALU-00169,2021,Escola Alpha,8º Ano,Tarde,18,F,5+ SM,Pós-graduação,1,74.4,62.7,55.9,59.3
ALU-00170,2021,Escola Alpha,8º Ano,Tarde,19,F,,Fundamental Incompleto,0,100.0,60.1,39.1,49.6
ALU-00171,2021,Escola Alpha,8º Ano,Tarde,18,F,1-2 SM,Médio Completo,1,76.7,69.3,67.1,68.2
ALU-00172,2021,Escola Alpha,8º Ano,Tarde,18,M,5+ SM,Médio Completo,1,93.2,76.3,82.0,79.1
ALU-00173,2021,Escola Alpha,8º Ano,Tarde,18,F,,Médio Completo,1,83.9,40.7,59.5,50.1
ALU-00174,2021,Escola Alpha,8º Ano,Tarde,18,F,1-2 SM,Médio Completo,1,100.0,54.9,46.8,50.8
ALU-00175,2021,Escola Alpha,8º Ano,Tarde,18,F,2-3 SM,Médio Completo,0,93.4,58.6,63.4,61.0
ALU-00176,2021,Escola Alpha,8º Ano,Tarde,19,M,,Superior Completo,1,83.4,68.8,91.1,79.9
ALU-00177,2021,Escola Alpha,8º Ano,Tarde,19,F,3-5 SM,Fundamental Incompleto,1,82.1,61.5,64.5,63.0
ALU-00178,2021,Escola Alpha,8º Ano,Tarde,20,M,Até 1 SM,Fundamental Completo,1,79.0,64.3,68.4,66.3
ALU-00179,2021,Escola Alpha,8º Ano,Tarde,18,F,2-3 SM,Superior Completo,1,77.3,54.6,59.9,57.2
ALU-00180,2021,Escola Alpha,8º Ano,Tarde,20,M,Até 1 SM,Fundamental Completo,1,89.9,59.9,67.5,63.7
ALU-00181,2021,Escola Alpha,8º Ano,Tarde,18,M,Até 1 SM,Fundamental Completo,1,94.9,52.5,79.2,65.9
ALU-00182,2021,Escola Alpha,8º Ano,Tarde,19,M,5+ SM,Superior Completo,0,85.0,75.1,61.1,68.1
ALU-00183,2021,Escola Alpha,8º Ano,Tarde,19,F,3-5 SM,Fundamental Incompleto,1,92.5,74.3,73.4,73.9
ALU-00184,2021,Escola Alpha,8º Ano,Tarde,20,M,2-3 SM,Fundamental Completo,1,80.9,58.0,71.8,64.9
ALU-00185,2021,Escola Alpha,9º Ano,Manhã,20,F,2-3 SM,Superior Completo,1,80.4,73.9,73.6,73.7
ALU-00186,2021,Escola Alpha,9º Ano,Manhã,21,M,2-3 SM,Superior Completo,1,87.8,45.7,63.5,54.6
ALU-00187,2021,Escola Alpha,9º Ano,Manhã,19,M,2-3 SM,Superior Completo,1,65.2,62.6,45.6,54.1
ALU-00188,2021,Escola Alpha,9º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,93.4,72.9,53.6,63.2
ALU-00189,2021,Escola Alpha,9º Ano,Manhã,21,M,1-2 SM,Médio Completo,0,80.6,52.2,60.4,56.3
ALU-00190,2021,Escola Alpha,9º Ano,Manhã,20,F,5+ SM,Pós-graduação,1,100.0,58.9,91.0,74.9
ALU-00191,2021,Escola Alpha,9º Ano,Manhã,19,F,2-3 SM,Médio Completo,1,79.4,52.9,71.5,62.2
ALU-00192,2021,Escola Alpha,9º Ano,Manhã,20,F,5+ SM,Fundamental Completo,1,97.9,66.0,48.2,57.1
ALU-00193,2021,Escola Alpha,9º Ano,Manhã,19,F,3-5 SM,Superior Completo,1,84.7,67.1,65.1,66.1
ALU-00194,2021,Escola Alpha,9º Ano,Manhã,20,F,Até 1 SM,Superior Completo,1,94.2,62.7,62.3,62.5
ALU-00195,2021,Escola Alpha,9º Ano,Manhã,21,F,1-2 SM,Médio Completo,0,96.5,45.4,47.2,46.3
ALU-00196,2021,Escola Alpha,9º Ano,Manhã,19,F,3-5 SM,Superior Completo,1,85.5,75.1,88.0,81.5
ALU-00197,2021,Escola Alpha,9º Ano,Manhã,20,F,2-3 SM,Fundamental Completo,1,98.6,78.6,53.6,66.1
ALU-00198,2021,Escola Alpha,9º Ano,Manhã,19,F,3-5 SM,Fundamental Incompleto,1,82.9,59.9,67.0,63.4
ALU-00199,2021,Escola Alpha,9º Ano,Manhã,19,M,2-3 SM,Fundamental Completo,0,59.0,20.2,34.0,27.1
ALU-00200,2021,Escola Alpha,9º Ano,Manhã,21,F,2-3 SM,Superior Completo,1,94.7,60.9,75.4,68.1
ALU-00201,2021,Escola Alpha,9º Ano,Manhã,21,M,Até 1 SM,Médio Completo,1,78.7,59.1,64.0,61.5
ALU-00202,2021,Escola Alpha,9º Ano,Manhã,21,M,1-2 SM,Fundamental Completo,1,90.7,61.4,79.9,70.7
ALU-00203,2021,Escola Alpha,9º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,60.6,53.3,33.0,43.1
ALU-00204,2021,Escola Alpha,9º Ano,Manhã,19,F,1-2 SM,Médio Completo,1,80.3,46.1,54.9,50.5
ALU-00205,2021,Escola Alpha,9º Ano,Manhã,19,F,Até 1 SM,Superior Completo,0,95.0,58.6,75.5,67.0
ALU-00206,2021,Escola Alpha,9º Ano,Manhã,21,M,Até 1 SM,Superior Completo,1,89.7,69.8,72.5,71.2
ALU-00207,2021,Escola Alpha,9º Ano,Manhã,19,M,Até 1 SM,Médio Completo,1,84.0,69.2,68.5,68.9
ALU-00208,2021,Escola Alpha,9º Ano,Manhã,19,M,5+ SM,Médio Completo,1,79.2,60.9,60.9,60.9
ALU-00209,2021,Escola Alpha,9º Ano,Manhã,19,F,Até 1 SM,Médio Completo,0,87.1,46.6,69.5,58.1
